Timestamp,v,message,name,discordID
10/2/2022 22:41:03,Enna,"Happy Anniversary Enna! One year has past too fast however the memories you've given us will never fade away. Your hard work, honesty and love for your community are parts of you that I highly respect and inspire me to be better. I'm glad that I can call you my oshi and I await excitedly for what's to come in this next year.",Ryussei,Ryussei#0675
10/3/2022 0:43:15,Enna,"Congrats to the chaotic birdie on the 1st anniversary! You've made it a long way, so continue on!! :D",nevada,alckri#8337
10/3/2022 1:59:35,Enna,"happy 1st anniv enna! i am so proud of you and your growth since your debut! thank you for all the laughs and beautiful covers you've given us, you've inspired me so much in a lot of ways. thank u for everything and i'll continue on supporting you. to more anniversaries together! ",meri,kyun#2392
10/3/2022 3:10:22,Enna,Hi Enna! Happy Ethyria first anniversary! Watching you and everyone grow through time makes me really happy. You are amazing and please never stop being amazing.,KK,K___K#2555
10/3/2022 8:40:02,Enna,"The world is a miserable place, but at least Enna Alouette exists.' 

I've watched plenty of YouTube videos, but none of them were able to make me genuinely laugh except for yours, Enna! I've never thought that after a dreadul day, I was excited to watch your videos that bring joy to me. I too think, that the world is a miserable place and often wish that I was just a cat, but you are one of the reasons why I continue to do what I have to do. I enjoy your negative talks about life (especially during the trial by trolley collab), perhaps because I relate to those negative thoughts too. But of course, I wish you well and hope that lesser negative thoughts surround you!  

Thank you for bringing joy to Aloupeeps, Enna! I wish you good health, and I wish you to have a great life, because you have brought joy to thousands! Thank you for being part of Ethyria, and being part of Nijisanji! 

Happy 1 year anniversary Ethyria! ",Yeou Yuko,Yeowoo #9313
10/3/2022 9:36:15,Reimu,"Hi, Reimu! Congrats for your first anniversary since debut! I haven't been here since the beginning, but I'll try to be together with you on your journey as much as I can. Thank you for always making me happy! ",Ciel♡,reimu#5821
10/3/2022 10:14:37,Reimu,"Hello Reimu
Not really sure of what to say, since I'm terrible with words lmao, but thanks for everything.
When I was feeling at the bottom of my life I happened to stumble in you one of your streams, and who have thought that would gave me the fuel to keep going, thank you Reimu.",Dege(nerado),Degenerado#5396
10/3/2022 17:40:12,Enna,"Hi Enna! Happy one-year anniversary to you my oshi and all the beloved girls of Ethyria! Can't believe a year's already passed. Doesn't even feel too long since I first watched your debut. But looking back, a lot of great things happened. Thank you so much for all the joy, love and positivity you guys spread. I feel so blessed and happy to have known you all, as it made me finally take a step forward in my life. Especially you Enna! From your chaotic energy, gameplays, and collabs to relaxing, motivating, and super funny talks and antics. I've never felt as genuinely as I did to work hard until you pushed me. Seeing the amount of growth you've gone through, and hard work you put out as well within the year, I can't tell you how proud I am to be an aloupeep and call you my oshi. Though now I've been pretty busy, and only sometimes get to catch your streams, and hardly get the chance to make fanarts of you, I'll always support and love you, and all the other members of Ethyria and EN too. Here's to more years to come. Once again, HAPPY ONE-YEAR ANNIVERSARY!! Wish you much Love and Happiness! Soar High and Sing aloud Songbird!!! Otsuenna!",6InchSenpai,6InchSenpai#0104
10/4/2022 2:28:29,Enna,Congrats on 1 year !! <3  this past year has been one of the best in my life mainly because of you. You're so amazing with all your streams always have funny moments to lighten the day. I hope there are many more anniversaries to come ! <3,Jei Eztli,jeiEztli#0001
10/4/2022 2:30:22,Millie,Millie congrats on 1 year. You are the kindest person I know always doing stuff for the community <3 I hope you know how much we all appreciate and love you! Here's to many more years of streaming !!! ,Jei Eztli,jeiEztli#0001
10/4/2022 4:30:46,Enna,"Literally one of the best vtuber i've ever watched, i just want you to know that your voice never fails to reach me and your streams gives me so much comfort. If it weren't for your hilarious streams i would be 100x miserable than the usual. i will support you in every steps you'll make! ",arkieel,arki#9900
10/4/2022 6:23:35,Enna,"Thank you for being true to yourself, loving your personality, your voice, your joke, EVERYTHING! LOVE YOU, MY OSHI ENNA ALLOUETTE 💗💗",Cheroppi,Cheroppi#0706
10/4/2022 9:48:34,Enna,"to my dearest songbird 🕊️💙💜 thanks for one year filled with joy, surprise, laughter, and bit tsundere part, your stream brought me immense happiness, cheers for the first anniversary, I'm glad you're s̶t̶i̶l̶l̶ here! ",gummy bear,gummy bear#7674
10/4/2022 9:54:04,Millie,"hello harbringer of calamity! 💋 but i should say you're more witch of LMFAO instead, because without ur presence, party rockers not in the house tonight!",gummy bear,gummy bear #7674
10/4/2022 9:59:10,Reimu,"hello reimu! i think your voice mail is awesome, oh and ur singing too! ",gummy bear,gummy bear#7674
10/4/2022 10:01:38,Nina,"happy ethyria first anniversary, mom! love you ! !",gummy bear,gummy bear#7674
10/4/2022 10:33:59,Enna,"happy anniversary to you and ethyria, enna! thank you for all the joy you've brought to us aloupeeps this past year! keep being the amazing and talented songbird that you are!",mirin,namie#5330
10/4/2022 10:51:18,Reimu,"Hey Reimu, Just wanna say I love you and your singing voice is beautiful! Your voice is really soothing and I always watch your streams to sleep even though it's horror games most of the time. Thank you for the past year and making me sleep well. Happy 1 Year Anniversary Ethyria!",haruchii,WanderingWizard#4035
10/4/2022 11:16:37,Millie,"Hey Millie! I can't believe it's been a year now, I remember your debut stream to be one of the best I've ever seen! You've never failed to make me laugh and I love your chaotic energy! Thank you for being you for the past year and Happy 1 Year Anniversary Ethyria!!!",haruchii,WanderingWizard#4035
10/4/2022 11:28:34,Enna,Happy One Year Anniversary!~ Thank you so much for all the great content you've put out for us. Your sense of humour may be dark yet it's always so relatable and I love you for it. I hope you continue bringing us more fun streams and hopefully not quit Nijisanji anytime soon! Here's to hoping you finally know how to use a map by the next anniversary XD,Raindora,Raindora#2306
10/4/2022 15:05:15,Enna,"Hey bitch, it’s been a year already and dayum that went faster than I thought. And while it went by faster than you reciting the bible, the memories and inspiration you and the others have given me is timeless. Seeing not only you but others like Patterns do their magic creating amazing songs and covers inspired me so much and helped motivate me in trying to sing myself! And being able to watch you fuck shit up in the best way possible and chill with chat every time you stream has become a routine in my life that I look forward to and I hope we can keep going like this! I ain’t ever gunna stop loving you biiitcchhhh💜💙",Lena,Lenaaa#7802
10/4/2022 22:55:08,Reimu,"Hi Reimu! Happy first year anniversary! i'm so proud of how far you've gone this past year and how much the community have grown thanks to you. Being a phantomo gave me so much that i can't believe it's only been one year, let's go for an even better 2nd year! i love you ghostie!",GonzaGKX,GonzaGKX#9835
10/4/2022 23:03:10,Millie,"Already a year huh, is crazy how all this time has past this quickly but i guess the time flies when you are having fun and hope you've have as much fun as we had.
Thank you for this amazing year Millie, we will support you and Ethyria as much time as needed. Happy anniversary!!",Just Bitter,Just Bitter#8177
10/4/2022 23:36:40,Enna,happy anniv!! ill make this short since i cant express myself very well but i hope u know ure a big inspiration to me! know that we all love and appreciate u & everything u do very much. here's to more anniversaries to celebrate together! hope the messages here make u smile :] ♡ ,finn フィン ,feen#1634
